"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000101197",7.79229171780748,-2.72809257844805,0.738067146250899,-3.6962661084506,0.000218793640066439,0.0720139960957503,"BIRC7","79444"
"ENSG00000134443",54.1522610159012,-6.8677839099062,1.86302683764679,-3.68635801220179,0.000227486269133923,0.0740044575762764,"GRP","2922"
"ENSG00000136147",3272.44603764268,-0.392529469881302,0.106684556677978,-3.67934668432032,0.000233832214346902,0.0751945271354398,"PHF11","51131"
"ENSG00000253516",3.29322407046934,-2.4245558501912,0.659933088652178,-3.67394193726976,0.000238837027694227,0.0759311764068339,NA,NA
"ENSG00000211939",70.5603412212665,-5.05556778478292,1.37805438062468,-3.66862720068507,0.000243856359754216,0.0766558356948732,NA,NA
"ENSG00000163519",22.4131012465297,-2.18276740957468,0.59584993791834,-3.66328377443555,0.00024900241769671,0.0774037848877872,"TRAT1","50852"
"ENSG00000211949",361.410300992244,-3.56901065409695,0.975252541150331,-3.65957585702594,0.000252633051590402,0.0776693943334579,NA,NA
"ENSG00000157601",3308.59565557932,-1.00417127629061,0.275607431884904,-3.64348402879774,0.000268972349358806,0.0810957201406754,"MX1","4599"
"ENSG00000240041",110.523485573027,-3.83195028274231,1.05201920852807,-3.64247178347986,0.000270032585214134,0.0810957201406754,NA,NA
"ENSG00000049247",4.44824140765047,-3.93988148767113,1.08336736193491,-3.6366994484996,0.000276153832465913,0.0810957201406754,"UTS2","10911"
"ENSG00000135925",27.6859433375611,-2.20872199230578,0.607645330927775,-3.6348867997281,0.000278102720485769,0.0810957201406754,"WNT10A","80326"
"ENSG00000118690",332.785883974767,-0.515174999201166,0.141736768938252,-3.6347307975223,0.000278271048843866,0.0810957201406754,"ARMC2","84071"
"ENSG00000239862",4.47758605078521,-5.29499129980052,1.45878237750966,-3.62973352395427,0.000283713958908351,0.0818295404987518,NA,NA
"ENSG00000185745",810.881913687876,-1.59626125358708,0.440380630190015,-3.62473084453856,0.000289262547546786,0.0825785540073106,"IFIT1","3434"
"ENSG00000163993",41.3470424842798,1.74517411267046,0.482478053100089,3.6171056931131,0.000297915675712191,0.0841897662565653,"S100P","6286"
"ENSG00000137265",129.572573378678,-1.71265663528342,0.474403721382081,-3.61012479053481,0.000306049726655865,0.0856235320265113,"IRF4","3662"
